CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
BVH,2019,4,121301114140.0,49419329064.0,4446975097989.0,-7651957593.0,0.0,-2142037179174.0,235963595904.0,0.0,2703970000330.0,1629650478415.0,24914304601.0,-403597032430.0,-138208791039.0,-553953345277.0,-75031880210.0,0.0,-9462573705.0,4024488293095,-38033994506,576706544,-29488004522113,23045827796756,0,-119166667,2462806805909,-4016946374077,4011741161610,0,10887427680000,-11445189626691,0,-708547828595,0.0,2745431386324,2752973305342,1992631118457,626908691,4746231332490
BVH,2019,3,432682329193.0,45282545984.0,4237187662903.0,2125071218.0,0.0,-1997660849992.0,256284162852.0,0.0,2975900922158.0,906905810377.0,4758792236.0,1077632455182.0,-140122372352.0,-227849733846.0,-54381950425.0,0.0,528051478.0,4056676687617,-90118659860,60922727,-13131382155760,12399249107536,-196000000000,87163586600,1756123295933,825096097176,0,0,404315715915,-5158541078414,0,38812060,0.0,-4754186550439,127586234354,1866621310944,51670114,1994259215412
BVH,2019,2,268075440621.0,42873999615.0,4010827263143.0,-1962582623.0,0.0,-1985228976951.0,256468408425.0,0.0,2591053552230.0,697867975955.0,17797097545.0,-598508971514.0,221733637809.0,-84043065531.0,-105530327134.0,0.0,5030235859.0,2841904401783,-54881872064,162987275,-18346297532020,12248826606155,953620000,71280000000,1427932753633,-4652023437021,0,0,3819908017149,-3165675731823,0,-11189208735,0.0,643043076591,-1167075958647,3033310966089,386303502,1866621310944
BVH,2019,1,521200773067.0,42376787453.0,3099344705814.0,2112264616.0,0.0,-1808240109209.0,244370846612.0,0.0,2101165268353.0,-16906401398.0,-16694678004.0,-162900431846.0,2397460266.0,-93435666650.0,-35389616056.0,0.0,-63954564627.0,1631219652186,-32181575387,50454545,-9969997607415,7842369612738,0,71280000000,1540253241782,-548225873737,0,0,3452874780000,-3642210170928,0,-19948942825,0.0,-209284333753,873709444696,2159930729474,-329208081,3033310966089
BVH,2018,4,237256503545.0,45032821235.0,4152271368450.0,6554659694.0,0.0,-1750505738746.0,178572738968.0,0.0,2869182353146.0,-853878291804.0,4293203572.0,-258105086563.0,-229849212497.0,-45218516131.0,-59375136472.0,0.0,-31757134890.0,1296898079878,-32732556572,55735456,-24553320390664,12096818378788,204714320876,-7670084109,1449878366262,-10842256229963,0,0,13896295209581,-5260478522781,0,0,0.0,8635816686800,-909541463285,3065953967842,3000725864,2159413230421
BVH,2018,3,991356564410.0,80073408033.0,8977866771061.0,884701138.0,0.0,-5618672849028.0,398518189810.0,0.0,4830026785424.0,-239575812089.0,-7073491937.0,1107373875328.0,-274398658577.0,-313565584955.0,-141699641205.0,0.0,-46841506738.0,4638728262266,-44513973431,11923483966,-32915491104074,26394842725227,-953620000,0,5724692667572,-829499820740,732898500000,0,11724946572731,-14135537375595,0,0,0.0,-1677692302864,2131536138662,3789197489323,213852283,5920947480268
BVH,2018,2,450876299684.0,41794485758.0,4695314553612.0,8597374817.0,0.0,-2760384714562.0,185100296282.0,0.0,2621298295591.0,-1023977215981.0,2511734239.0,-1590731392453.0,-74712686684.0,-179474638198.0,-73851143190.0,0.0,-25998069961.0,-529740646231,-32401046576,11809777602,-19107642582286,14072388216797,-953620000,0,2412183106012,-2644616148451,732898500000,0,4916388106883,-7779246933266,0,0,0.0,-2129960326383,-5304317121065,11230685638011,-5421036678,5920947480268
BVH,2018,1,540480264726.0,38278922275.0,4282552217449.0,-7712673679.0,0.0,-2858288134466.0,213417893528.0,0.0,2208728489833.0,784401403892.0,-9585226176.0,2698105267781.0,-199685971893.0,-134090946757.0,-67848498015.0,0.0,-20843436777.0,5168468908497,-12112926855,113706364,-13807848521788,12322454508430,0,0,3312509561560,1815116327711,0,0,6808558465848,-6356290442329,0,0,0.0,452268023519,7435853259727,3789197489323,5634888961,11230685638011
BVH,2017,4,372094691924.0,40128660710.0,3818477325148.0,-6003725276.0,0.0,-1532202699906.0,201425219134.0,0.0,2893919471734.0,-2216800863297.0,-2087242303.0,726602335356.0,-91441924381.0,-145025399454.0,-30137363290.0,0.0,30941373756.0,787717761742,-49714802744,494287764,-11332396346433,9377542559634,-12248290000,0,1081260910221,-935061681558,0,0,7217609537551,-6665530226114,0,-1628000,0.0,552077683437,404733763621,3392840613230,-4775353482,3792799023369
BVH,2017,3,227113543999.0,33709767038.0,3241033630673.0,4146225599.0,0.0,-1394926680994.0,192584360611.0,0.0,2303660846926.0,-420228477137.0,-10595082119.0,676676847364.0,-222993537660.0,-129048817165.0,-141849000298.0,0.0,-24727815507.0,1943928656725,-151973334757,48318178,-8898964820076,6462605486187,-97705000000,0,608529111607,-2077460238861,0,0,7149615320848,-7465021542044,0,-680039545600,0.0,-995445766796,-1128977348932,4522704433210,-886471048,3392840613230
