CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
SAB,2019,3,17575957284443,3586992705347,11173432449320,923041316109,1788457837586,104032976081,7201652313830,4000000000,4169003227202,58894133488,2182871518233,0,571245669324,24777609598273,5796889182989,5492196940763,304692242226,18980720415284,18980720415284,0,10301761124393,0,1100199457086,24777609598273,62089733522,0,2006391092146,0,1130372829157,6412811860000,6412811860000,0,0,54604861620,508683238025,0,342939029997,665885700116,36000080906,6680101001
SAB,2019,2,16861849375663,5303724023229,9047239201320,879189455569,1546216191226,85480504319,7199113719277,4000000000,4302090633997,53984479781,2046297736340,0,616039304075,24060963094940,5468544995053,5174248971351,294296023702,18592418099887,18592418099887,0,9953107853174,0,1061597327266,24060963094940,56510250916,0,1764593898822,0,1130372829157,6412811860000,6412811860000,0,0,137523122041,346152711298,0,400839020444,665885700116,36909456417,7589476512
SAB,2019,1,15515537762586,4945933287378,7496406448542,842187287859,2084325783277,146684955530,7524013932117,4000000000,4433109455861,54276158507,2142139753659,0,754061363876,23039551694703,5777983581418,5451256229343,326727352075,17261568113285,17261530713285,3208666226,8583246344708,37400000,1106647937546,23039551694703,80615956582,0,2302136081674,0,1130368791063,6412811860000,6412811860000,0,12183022047,109406414086,421168672990,0,471444880305,681235700116,35683910917,6208015568
SAB,2018,4,14690168205219,4467391585137,7544188420764,765630597003,1813754190894,99203411421,7688357992597,4000000000,4567091079194,54567837235,2154232302794,0,762228144297,22378526197816,6268953002674,5940649111708,328303890966,16109573195142,16109535795142,0,7471335714541,37400000,1065605733615,22378526197816,74757986951,0,2034063807573,0,1130147220442,6412811860000,6412811860000,0,14618022047,110463408413,594242788680,0,551794760319,688510888053,35180710917,5860731012
SAB,2018,3,15206371060048,4228410867018,7866885974564,714438390374,2256607163602,140028664490,7794081647953,4000000000,4687305964873,54859515963,2159778144708,0,753339984478,23000452708001,5297792226865,5073407854860,224384372005,17702660481136,17702623081136,3208666226,9078703204184,37400000,1055221031194,23000452708001,81825877405,0,2373379379056,0,1127766483245,6412811860000,6412811860000,0,17053022047,68507400636,687341280924,0,631267379801,716852914597,32939157663,3619177758
SAB,2018,2,14135939540130,4184307406199,6955374974564,715878089163,2145516287784,134862782420,7890438722148,4000000000,4747557499069,55151194692,2084467734679,0,808041863727,22026378262278,5232425738270,5015641790233,216783948037,16793952524008,16793915124008,3208666226,8140891583470,37400000,1085059903951,22026378262278,72402751825,0,2262382715579,0,1127748197086,6412811860000,6412811860000,0,11644361692,90536530685,547419329275,0,688324207539,736652914597,47636960833,18612165484
SAB,2018,1,12576322862467,4873459152462,4606383203491,731643279702,2209059479779,155777747033,8188395961586,4000000000,4881910991286,55442873420,2160278493052,0,908983999653,20764718824053,5213473559860,5005836090284,207637469576,15551245264193,15551207864193,0,6934486717448,37400000,1060983857643,20764718824053,86612848083,0,2326030667357,0,1119073579586,6412811860000,6412811860000,0,1531695304,134933387095,807830367225,0,785810473764,736652914597,49357010411,20332215063
SAB,2017,4,13746940669379,4268678310960,6558801231269,677002428048,2100175381040,142283318062,8332403162509,4000000000,5010375356253,59916600627,2193008896120,0,933752813689,22079343831888,7317131587250,7178234449011,138897138239,14762212244638,14762174844638,0,6134774325149,37400000,1067385177846,22079343831888,109617223231,0,2142975830117,0,1118963482640,6412811860000,6412811860000,0,4580629834,89595796489,720264981780,0,819116482360,736960914597,48401021411,24721148533
SAB,2017,3,13208724661352,4554779294818,5238047914747,834941892300,2325039678933,255915880554,8032807668055,4000000000,5103683631736,64554780515,1975779273768,0,768020789098,21241532329407,5342290497172,5209060016516,133230480656,15899241832235,15899204432235,3208666226,7265667693026,37400000,1073227021309,21241532329407,178050449340,0,2359770401218,0,1118956843769,6412811860000,6412811860000,0,8477861275,274487030299,840230301736,0,656567803939,739727528924,48003068963,18423196085
SAB,2017,2,11948192558650,5060479589348,3409614854909,949878612005,2062414643400,465804858988,8150511465206,4000000000,5217743818630,65140405394,1909998670126,0,844483615214,20098704023856,5226245019726,5081533805802,144711213924,14872459004130,14872421604130,3208666226,6248405757322,37400000,1064965705970,20098704023856,199879316231,0,2098769190101,0,1118956843769,6412811860000,6412811860000,0,19853741805,176882891170,944250851140,0,737028818589,739727528924,48161821863,18581948985
